source_path,benchmark_name,benchmark_version,track,generated_at,submission_name,method_name,method_type,authors,repository,checkpoint_uri,paper_uri,notes,case_count,official_score,mean_success_rate,mean_avg_return,mean_avg_steps,mean_avg_comm_tokens
results/syncorsink_v0_1/symbolic_ctde/oracle_strong.json,syncorsink_v0_1,0.1.0,symbolic_ctde,2026-08-11T03:55:11+00:00,oracle-strong-v0.1,Oracle Strong,oracle,SyncOrSink Contributors,,,,,6,93.22916666666666,0.9322916666666666,22.938802083333332,33.59375,0.0
results/syncorsink_v0_1/symbolic_ctde/oracle_comm.json,syncorsink_v0_1,0.1.0,symbolic_ctde,2026-08-11T03:55:12+00:00,oracle-comm-v0.1,Oracle + Comm,oracle_comm,SyncOrSink Contributors,,,,,6,93.22916666666666,0.9322916666666666,22.407083333333333,33.59375,53.171875
results/syncorsink_v0_1/symbolic_dtde/random.json,syncorsink_v0_1,0.1.0,symbolic_dtde,2026-08-11T03:56:59+00:00,random-v0.1,Random,random,SyncOrSink Contributors,,,,,6,3.6458333333333335,0.036458333333333336,-6.6640625,208.25,0.0
results/syncorsink_v0_1/symbolic_dtde/scripted.json,syncorsink_v0_1,0.1.0,symbolic_dtde,2026-08-11T03:55:28+00:00,scripted-v0.1,Scripted,scripted,SyncOrSink Contributors,,,,,6,0.0,0.0,-5.833333333333333,213.33333333333334,0.0
